0
Eddie Condon
Jose Gamboa Ceballos Y Su Orquesta
Las Hermanas Padilla
M. S. Subbulakshmi
Antonio Vivaldi
Unknown
 Berliner Philharmoniker
 Carl Schuricht
Amir Jan
Aracy de Almeida
Uli
John Philip Sousa
Raúl Abríl
Carla Boni
Francois Campion
 Julio Martinez Oyanguren
Giacomo Meyerbeer
 Carlos Galán
Memphis Slim
Jean Goldkette & His Orchestra
 Jean Goldkette
Charlie
Zofia Dromlewiczowa
The Moonfish Club
Roy Ingraham & His Orchestra
 Roy Ingraham
Govind Kurwalikar
Academia dos Renascidos
Freemulitas Groove
Vernon Dalhart
Rita Ampatzi
Lionel Belasco
Vincent Lopez and his Orchestra
 Vincent Lopez
Jack Teagarden
 Red Nichols & His Five Pennies
Fred Gouin
 Cleveland Orchestra
Arturo Toscanini
 Bernardo Segall
 Roberto Maida
Pushpa Chopra
Dmitri Shostakovich
 Arthur Gold
 Robert Fizdale
Ted Weems & His Orchestra
Jimmy Durante
Orchestre Piero Coppola
 Piero Coppola
 José De Trévi
 Lucy Perelli
Maria Konopnicka
Dost Mohommed
 Sharada
 Busch Quartet
 Mstislav Rostropovich
 Jean-Pierre Rampal
Kortársak
Patsy Montana
Lowell Fulson
 Emanuel Bay
Leela Sawant
 Afzal Lahori
Sam Lanin and His Orchestra
 Sam Lanin
Los Indios
 Conjunto 31 de Octubre
Bourvil
Asit Baran
Miff Mole & His Little Molers
Sarla Devi
Gene Austin
Eddie Lang
Paul Whiteman
Jiddu Krishnamurti
Benny Goodman Big Band
 Louis Lane
Kalyani
Ntezi Stavropoulou
Joan Ellison
 Jason Aquila
 Leonard Slatkin
 St. Louis Symphony
Falange Española
Manuel Ponce
Perdikopoylos
 Dimitris
 Giorgos Anestopoylos-klarino
Fayza Ahmed
 Bourvil
 Charles Cambon
 Charles Soix
" ""Chœurs du Théâtre National de lOpéra-Comique"""
 Fanély Revoil
 Vina Bovy
 Richard Tucker
Mala Karim
 Rudolf Serkin
C. Ramchandra
AmáΙia Rodrigues
 Jaime Santos
 Santos Moreira
Γιάννης Καμβύσης
 Πέτρος Κυριακός
La Chicana
Jay Blackton
 Laurence Guittard
 Mary Wickes
 Christine Andreas
Brownie McGhee
Hansa
The Neville Brothers
Nalini Jaywant
